FIPS,STNAME,CTYNAME,CENSUS1900POP,CENSUS1910POP,CENSUS1920POP,CENSUS1930POP,CENSUS1940POP,CENSUS1950POP,CENSUS1960POP,CENSUS1970POP,CENSUS1980POP,CENSUS1990POP,CENSUS2000POP,CENSUS2010POP,POPESTIMATE2015,CBSA Code,Metropolitan Division Code,CSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Metropolitan Division Title,CSA Title,Central/Outlying County
29195,Missouri,Saline County,33703,29448,28826,30598,29416,26694,25148,24633,24919,23523,23756,23370,23226,32180,,,"Marshall, MO",Micropolitan Statistical Area,,,Central
29197,Missouri,Schuyler County,10840,9062,8383,6951,6627,5760,5052,4665,4979,4236,4170,4431,4500,28860,,,"Kirksville, MO",Micropolitan Statistical Area,,,Outlying
29199,Missouri,Scotland County,13232,11869,10700,8853,8557,7332,6484,5499,5415,4822,4983,4843,4821,,,,,,,,
29201,Missouri,Scott County,13092,22372,23409,24913,30377,32842,32748,33250,39647,39376,40422,39191,39007,43460,,164,"Sikeston, MO",Micropolitan Statistical Area,,"Cape Girardeau-Sikeston, MO-IL",Central
29203,Missouri,Shannon County,11247,11443,11865,10894,11831,8377,7087,7196,7885,7613,8324,8441,8273,,,,,,,,
29205,Missouri,Shelby County,16167,14864,13617,11983,11224,9730,9063,7906,7826,6942,6799,6373,6101,,,,,,,,
29207,Missouri,Stoddard County,24669,27807,29755,27452,33009,33463,29490,25771,29009,28895,29705,29968,29736,,,,,,,,
29209,Missouri,Stone County,9892,11559,11941,11614,11298,9748,8176,9921,15587,19078,28658,32202,31307,,,,,,,,
29211,Missouri,Sullivan County,20282,18598,17781,15212,13701,11299,8783,7572,7434,6326,7219,6714,6366,,,,,,,,
29213,Missouri,Taney County,10127,9134,8178,8867,10323,9863,10238,13023,20467,25561,39703,51675,54216,14700,,,"Branson, MO",Micropolitan Statistical Area,,,Central
29215,Missouri,Texas County,22192,21458,20548,18580,19813,18992,17758,18320,21070,21476,23003,26008,25660,,,,,,,,
29217,Missouri,Vernon County,31619,28827,26069,25031,25586,22685,20540,19065,19806,19041,20454,21159,20758,,,,,,,,
29219,Missouri,Warren County,9919,9123,8490,8082,7734,7666,8750,9699,14900,19534,24525,32513,33532,41180,,476,"St. Louis, MO-IL",Metropolitan Statistical Area,,"St. Louis-St. Charles-Farmington, MO-IL",Outlying
29221,Missouri,Washington County,14263,13378,13803,14450,17492,14689,14346,15086,17983,20380,23344,25195,24793,,,,,,,,
29223,Missouri,Wayne County,15309,15181,13012,12243,12794,10514,8638,8546,11277,11543,13259,13521,13431,,,,,,,,
29225,Missouri,Webster County,16640,17377,16609,16148,17226,15072,13753,15562,20414,23753,31045,36202,37604,44180,,,"Springfield, MO",Metropolitan Statistical Area,,,Outlying
29227,Missouri,Worth County,9832,8007,7642,6535,6345,5120,3936,3359,3008,2440,2382,2171,2042,,,,,,,,
29229,Missouri,Wright County,17519,18315,17733,16741,17967,15834,14183,13667,16188,16758,17955,18815,18146,,,,,,,,
29510,Missouri,St. Louis city,575238,687029,772897,821960,816048,856796,750026,622236,453085,396685,348189,319294,316010,41180,,476,"St. Louis, MO-IL",Metropolitan Statistical Area,,"St. Louis-St. Charles-Farmington, MO-IL",Central
30001,Montana,Beaverhead County,5615,6446,7369,6654,6943,6671,7194,8187,8186,8424,9202,9246,9295,,,,,,,,
30003,Montana,Big Horn County,---,---,7015,8543,10419,9824,10007,10057,11096,11337,12671,12865,13312,,,,,,,,
30005,Montana,Blaine County,---,---,9057,9006,9566,8516,8091,6727,6999,6728,7009,6491,6680,,,,,,,,
30007,Montana,Broadwater County,2641,3491,3239,2738,3451,2922,2804,2526,3267,3318,4385,5612,5714,,,,,,,,
30009,Montana,Carbon County,7533,13962,15279,12571,11865,10241,8317,7080,8099,8080,9552,10078,10403,13740,,,"Billings, MT",Metropolitan Statistical Area,,,Outlying
30011,Montana,Carter County,---,---,3972,4136,3280,2798,2493,1956,1799,1503,1360,1160,1147,,,,,,,,
30013,Montana,Cascade County,25777,28833,38836,41146,41999,53027,73418,81804,80696,77691,80357,81327,81878,24500,,,"Great Falls, MT",Metropolitan Statistical Area,,,Central
30015,Montana,Chouteau County,10966,17191,11051,8635,7316,6974,7348,6473,6092,5452,5970,5813,5774,,,,,,,,
30017,Montana,Custer County,7891,14123,12194,11242,10422,12661,13227,12174,13109,11697,11696,11699,12083,,,,,,,,
30019,Montana,Daniels County,---,---,---,5553,4563,3946,3755,3083,2835,2266,2017,1751,1750,,,,,,,,
30021,Montana,Dawson County,2443,12725,9239,9881,8618,9092,12314,11269,11805,9505,9059,8966,9577,,,,,,,,
30023,Montana,Deer Lodge County,17393,12988,15323,16293,13627,16553,18640,15652,12518,10278,9417,9298,9102,,,,,,,,
30025,Montana,Fallon County,---,---,4548,4568,3719,3660,3997,4050,3763,3103,2837,2890,3171,,,,,,,,
30027,Montana,Fergus County,6937,17385,28344,16531,14040,14015,14018,12611,13076,12083,11893,11586,11307,,,,,,,,
30029,Montana,Flathead County,9375,18785,21705,19200,24271,31495,32965,39460,51966,59218,74471,90928,95839,28060,,,"Kalispell, MT",Micropolitan Statistical Area,,,Central
30031,Montana,Gallatin County,9553,14079,15864,16124,18269,21902,26045,32505,42865,50463,67831,89513,100882,14580,,,"Bozeman, MT",Micropolitan Statistical Area,,,Central
30033,Montana,Garfield County,---,---,5368,4252,2641,2172,1981,1796,1656,1589,1279,1206,1284,,,,,,,,
30035,Montana,Glacier County,---,---,4178,5297,9034,9645,11565,10783,10628,12121,13247,13399,13636,,,,,,,,
30037,Montana,Golden Valley County,---,---,---,2126,1607,1337,1203,931,1026,912,1042,884,818,,,,,,,,
30039,Montana,Granite County,4328,2942,4167,3013,3401,2773,3014,2737,2700,2548,2830,3079,3163,,,,,,,,
30041,Montana,Hill County,---,---,13958,13775,13304,14285,18653,17358,17985,17654,16673,16096,16438,,,,,,,,
30043,Montana,Jefferson County,5330,5601,5203,4133,4664,4014,4297,5238,7029,7939,10049,11406,11572,25740,,,"Helena, MT",Micropolitan Statistical Area,,,Outlying
30045,Montana,Judith Basin County,---,---,---,5238,3655,3200,3085,2667,2646,2282,2329,2072,1931,,,,,,,,
30047,Montana,Lake County,---,---,---,9541,13490,13835,13104,14445,19056,21041,26507,28746,29457,,,,,,,,
30049,Montana,Lewis and Clark County,19171,21853,18660,18224,22131,24540,28006,33281,43039,47495,55716,63395,66225,25740,,,"Helena, MT",Micropolitan Statistical Area,,,Central
30051,Montana,Liberty County,---,---,2416,2198,2209,2180,2624,2359,2329,2295,2158,2339,2391,,,,,,,,
30053,Montana,Lincoln County,---,3638,7797,7089,7882,8693,12537,18063,17752,17481,18837,19687,19060,,,,,,,,
30055,Montana,McCone County,---,---,4747,4790,3798,3258,3321,2875,2702,2276,1977,1734,1700,,,,,,,,
30057,Montana,Madison County,7695,7229,7495,6323,7294,5998,5211,5014,5448,5989,6851,7691,8026,,,,,,,,
30059,Montana,Meagher County,2526,4190,2622,2272,2237,2079,2616,2122,2154,1819,1932,1891,1821,,,,,,,,
30061,Montana,Mineral County,---,---,2327,1626,2135,2081,3037,2958,3675,3315,3884,4223,4192,,,,,,,,
30063,Montana,Missoula County,13964,23596,24041,21782,29038,35493,44663,58263,76016,78687,95802,109299,114122,33540,,,"Missoula, MT",Metropolitan Statistical Area,,,Central
30065,Montana,Musselshell County,---,---,12030,7242,5717,5408,4888,3734,4428,4106,4497,4538,4628,,,,,,,,
30067,Montana,Park County,7341,10731,11330,10922,11566,11999,13168,11197,12869,14562,15694,15636,16003,,,,,,,,
30069,Montana,Petroleum County,---,---,---,2045,1083,1026,894,675,655,519,493,494,474,,,,,,,,
30071,Montana,Phillips County,---,---,9311,8208,7892,6334,6027,5386,5367,5163,4601,4253,4146,,,,,,,,
30073,Montana,Pondera County,---,---,5741,6964,6716,6392,7653,6611,6731,6433,6424,6153,6095,,,,,,,,
30075,Montana,Powder River County,---,---,3357,3909,3159,2693,2485,2862,2520,2090,1858,1743,1768,,,,,,,,
30077,Montana,Powell County,---,5904,6909,6202,6152,6301,7002,6660,6958,6620,7180,7027,6799,,,,,,,,
30079,Montana,Prairie County,---,---,3684,3941,2410,2377,2318,1752,1836,1383,1199,1179,1140,,,,,,,,
30081,Montana,Ravalli County,7822,11666,10098,10315,12978,13101,12341,14409,22493,25010,36070,40212,41148,,,,,,,,
30083,Montana,Richland County,---,---,8989,9633,10209,10366,10504,9837,12243,10716,9667,9746,11902,,,,,,,,
30085,Montana,Roosevelt County,---,---,10347,10672,9806,9580,11731,10365,10467,10999,10620,10425,11417,,,,,,,,
30087,Montana,Rosebud County,---,7985,8002,7347,6477,6570,6187,6032,9899,10505,9383,9233,9347,,,,,,,,
30089,Montana,Sanders County,---,3713,4903,5692,6926,6983,6880,7093,8675,8669,10227,11413,11293,,,,,,,,
30091,Montana,Sheridan County,---,---,13847,9869,7814,6674,6458,5779,5414,4732,4105,3384,3673,,,,,,,,
